Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Heat,36,36C,23,47.27171079,237.5548395,273.6602843,69.56521739,1282.982271,0.213300129,18.51583181
Heat,36,36C,24,64.92987573,255.2132512,303.9370752,38.0952381,934.3732629,0.325284431,27.31384355
Heat,36,36C,25,74.85549052,60.39615479,56.58405001,35.13513514,802.668149,0.070494949,7.524423993
Heat,36,36C,26,68.4705977,75.4088464,69.62642736,40.29850746,877.4482556,0.079351035,8.594107506
Heat,36,36C,27,66.92755941,97.49103571,85.2288747,46.96969697,899.5047,0.094750894,10.83830198
Heat,36,36C,28,67.72376649,52.91250227,63.99576811,42.42424242,887.0599753,0.072143677,5.964929514
Heat,20,ENVHEAT,1,54.68712638,35.89393596,42.57596922,20.37037037,1097.579463,0.038790785,3.270281303
Heat,20,ENVHEAT,3,53.52889227,43.9232461,54.5287843,23.07692308,1122.006985,0.048599327,3.914703445
Heat,20,ENVHEAT,4,54.79608694,76.77010953,53.62192931,33.96226415,1095.670434,0.048939834,7.006678938
Heat,20,ENVHEAT,5,54.6510738,45.7723377,46.9477838,27.77777778,1098.185861,0.042750308,4.167995539
Heat,20,ENVHEAT,8,71.16008243,75.68520219,104.4078433,34.28571429,846.0099116,0.12341208,8.946136582
Heat,20,ENVHEAT,9,44.83710312,200.1897645,218.066095,75,1343.709468,0.16228664,14.89829232
Heat,20,ENVHEAT,10,52.90177502,70.44698448,53.53906894,32.69230769,1133.963313,0.04721411,6.212457111
Heat,20,ENVHEAT,13,36.21231709,73.42581479,75.4245244,48.57142857,1657.402261,0.045507676,4.430174648
Heat,20,ENVHEAT,14,65.12779789,127.9793807,82.52868872,32.30769231,924.7561777,0.089243728,13.83925664
Heat,20,ENVHEAT,15,67.18290519,61.23380916,58.635847,18.18181818,894.0290211,0.065586067,6.84919703
Heat,20,ENVHEAT,16,57.01618542,70.7352056,46.53067177,17.85714286,1053.216699,0.04417958,6.716111287
Heat,20,ENVHEAT,17,45.24450548,73.132752,40.0839497,20,1326.099041,0.030226965,5.514878583
Heat,20,ENVHEAT,18,48.8421528,103.939743,133.5847343,23.40425532,1230.544747,0.108557397,8.446644728
Heat,20,ENVHEAT,19,50.10124778,43.3600386,50.87149171,26.53061224,1198.665926,0.042440092,3.617358069
Heat,20,ENVHEAT,20,43.40195285,77.49318696,77.02282635,28.57142857,1383.714467,0.055663815,5.600374124
Heat,20,ENVHEAT,21,57.26873858,52.33592672,46.7436279,21.42857143,1047.950616,0.0446048,4.994121471
Heat,20,ENVHEAT,22,51.5812984,68.66298265,57.57424069,30,1166.007259,0.049377258,5.88872686
Heat,20,ENVHEAT,23,50.27660524,130.1502109,137.1082032,60,1194.781415,0.114755889,10.89322359
Heat,20,ENVHEAT,24,50.50025219,47.14815542,52.52256503,28,1188.241834,0.044201915,3.967892231
Heat,20,ENVHEAT,25,56.5273951,55.46510097,61.91626182,30.35714286,1062.578626,0.058269817,5.219858523
Heat,20,ENVHEAT,26,41.52954823,66.65286365,79.27647131,42.5,1447.145433,0.054781275,4.605816536
